t,Ekin,Epot,Etot
0.2546666667,0.0000874384,0.0005645279,0.0006519663
0.2548333333,0.0000913173,0.0005610617,0.0006523790
0.2550000000,0.0000953118,0.0005574994,0.0006528112
0.2551666667,0.0000994205,0.0005538425,0.0006532630
0.2553333333,0.0001036421,0.0005500920,0.0006537342
0.2555000000,0.0001079752,0.0005462496,0.0006542247
0.2556666667,0.0001124182,0.0005423167,0.0006547349
0.2558333333,0.0001169697,0.0005382952,0.0006552649
0.2560000000,0.0001216281,0.0005341872,0.0006558153
0.2561666667,0.0001263918,0.0005299945,0.0006563863
0.2563333333,0.0001312591,0.0005257190,0.0006569781
0.2565000000,0.0001362283,0.0005213626,0.0006575908
0.2566666667,0.0001412975,0.0005169270,0.0006582245
0.2568333333,0.0001464650,0.0005124143,0.0006588793
0.2570000000,0.0001517289,0.0005078263,0.0006595553
0.2571666667,0.0001570873,0.0005031651,0.0006602524
0.2573333333,0.0001625382,0.0004984326,0.0006609709
0.2575000000,0.0001680797,0.0004936313,0.0006617110
0.2576666667,0.0001737096,0.0004887634,0.0006624730
0.2578333333,0.0001794258,0.0004838313,0.0006632571
0.2580000000,0.0001852263,0.0004788371,0.0006640634
0.2581666667,0.0001911088,0.0004737826,0.0006648914
0.2583333333,0.0001970711,0.0004686697,0.0006657408
0.2585000000,0.0002031109,0.0004635006,0.0006666115
0.2586666667,0.0002092261,0.0004582779,0.0006675040
0.2588333333,0.0002154142,0.0004530048,0.0006684189
0.2590000000,0.0002216728,0.0004476839,0.0006693567
0.2591666667,0.0002279995,0.0004423177,0.0006703173
0.2593333333,0.0002343920,0.0004369083,0.0006713003
0.2595000000,0.0002408476,0.0004314576,0.0006723052
0.2596666667,0.0002473638,0.0004259678,0.0006733316
0.2598333333,0.0002539383,0.0004204413,0.0006743796
0.2600000000,0.0002605682,0.0004148808,0.0006754490
0.2601666667,0.0002672512,0.0004092890,0.0006765402
0.2603333333,0.0002739845,0.0004036689,0.0006776534
0.2605000000,0.0002807654,0.0003980234,0.0006787888
0.2606666667,0.0002875913,0.0003923554,0.0006799467
0.2608333333,0.0002944595,0.0003866676,0.0006811271
0.2610000000,0.0003013671,0.0003809622,0.0006823293
0.2611666667,0.0003083114,0.0003752413,0.0006835528
0.2613333333,0.0003152897,0.0003695070,0.0006847967
0.2615000000,0.0003222992,0.0003637617,0.0006860609
0.2616666667,0.0003293370,0.0003580087,0.0006873457
0.2618333333,0.0003364003,0.0003522513,0.0006886516
0.2620000000,0.0003434862,0.0003464929,0.0006899790
